timestamp,date,value,value_classification
1752710400,2025-07-17,74,Greed
1752624000,2025-07-16,70,Greed
1752537600,2025-07-15,73,Greed
1752451200,2025-07-14,74,Greed
1752364800,2025-07-13,74,Greed
1752278400,2025-07-12,79,Extreme Greed
1752192000,2025-07-11,71,Greed
1752105600,2025-07-10,71,Greed
1752019200,2025-07-09,66,Greed
1751932800,2025-07-08,65,Greed
1751846400,2025-07-07,73,Greed
1751760000,2025-07-06,66,Greed
1751673600,2025-07-05,67,Greed
1751587200,2025-07-04,73,Greed
1751500800,2025-07-03,73,Greed
1751414400,2025-07-02,63,Greed
1751328000,2025-07-01,64,Greed
1751241600,2025-06-30,66,Greed
1751155200,2025-06-29,68,Greed
1751068800,2025-06-28,65,Greed
1750982400,2025-06-27,65,Greed
1750896000,2025-06-26,74,Greed
1750809600,2025-06-25,66,Greed
1750723200,2025-06-24,65,Greed
1750636800,2025-06-23,47,Neutral
1750550400,2025-06-22,42,Fear
1750464000,2025-06-21,49,Neutral
1750377600,2025-06-20,54,Neutral
1750291200,2025-06-19,57,Greed
1750204800,2025-06-18,52,Neutral
1750118400,2025-06-17,68,Greed
1750032000,2025-06-16,61,Greed
1749945600,2025-06-15,60,Greed
1749859200,2025-06-14,63,Greed
1749772800,2025-06-13,61,Greed
1749686400,2025-06-12,71,Greed
1749600000,2025-06-11,72,Greed
1749513600,2025-06-10,71,Greed
1749427200,2025-06-09,62,Greed
1749340800,2025-06-08,62,Greed
1749254400,2025-06-07,52,Neutral
1749168000,2025-06-06,45,Fear
1749081600,2025-06-05,57,Greed
1748995200,2025-06-04,62,Greed
1748908800,2025-06-03,64,Greed
1748822400,2025-06-02,64,Greed
1748736000,2025-06-01,56,Greed
1748649600,2025-05-31,50,Neutral
1748563200,2025-05-30,60,Greed
1748476800,2025-05-29,74,Greed
1748390400,2025-05-28,71,Greed
1748304000,2025-05-27,74,Greed
1748217600,2025-05-26,73,Greed
1748131200,2025-05-25,74,Greed
1748044800,2025-05-24,66,Greed
1747958400,2025-05-23,78,Extreme Greed
1747872000,2025-05-22,72,Greed
1747785600,2025-05-21,70,Greed
1747699200,2025-05-20,71,Greed
1747612800,2025-05-19,74,Greed
1747526400,2025-05-18,74,Greed
1747440000,2025-05-17,74,Greed
1747353600,2025-05-16,71,Greed
1747267200,2025-05-15,70,Greed
1747180800,2025-05-14,73,Greed
1747094400,2025-05-13,70,Greed
1747008000,2025-05-12,70,Greed
1746921600,2025-05-11,70,Greed
1746835200,2025-05-10,70,Greed
1746748800,2025-05-09,73,Greed
1746662400,2025-05-08,65,Greed
1746576000,2025-05-07,67,Greed
1746489600,2025-05-06,59,Greed
1746403200,2025-05-05,52,Neutral
1746316800,2025-05-04,64,Greed
1746230400,2025-05-03,65,Greed
1746144000,2025-05-02,67,Greed
1746057600,2025-05-01,53,Neutral
1745971200,2025-04-30,56,Greed
1745884800,2025-04-29,60,Greed
1745798400,2025-04-28,54,Neutral
1745712000,2025-04-27,61,Greed
1745625600,2025-04-26,65,Greed
1745539200,2025-04-25,60,Greed
1745452800,2025-04-24,63,Greed
1745366400,2025-04-23,72,Greed
1745280000,2025-04-22,47,Neutral
1745193600,2025-04-21,39,Fear
1745107200,2025-04-20,37,Fear
1745020800,2025-04-19,32,Fear
1744934400,2025-04-18,33,Fear
1744848000,2025-04-17,30,Fear
1744761600,2025-04-16,29,Fear
1744675200,2025-04-15,38,Fear
1744588800,2025-04-14,31,Fear
1744502400,2025-04-13,45,Fear
1744416000,2025-04-12,43,Fear
1744329600,2025-04-11,25,Extreme Fear
1744243200,2025-04-10,39,Fear
1744156800,2025-04-09,18,Extreme Fear
1744070400,2025-04-08,24,Extreme Fear
1743984000,2025-04-07,23,Extreme Fear
1743897600,2025-04-06,34,Fear
1743811200,2025-04-05,30,Fear
1743724800,2025-04-04,28,Fear
1743638400,2025-04-03,25,Extreme Fear
1743552000,2025-04-02,44,Fear
1743465600,2025-04-01,34,Fear
1743379200,2025-03-31,34,Fear
1743292800,2025-03-30,32,Fear
1743206400,2025-03-29,26,Fear
1743120000,2025-03-28,44,Fear
1743033600,2025-03-27,40,Fear
1742947200,2025-03-26,47,Neutral
1742860800,2025-03-25,46,Fear
1742774400,2025-03-24,45,Fear
1742688000,2025-03-23,30,Fear
1742601600,2025-03-22,32,Fear
1742515200,2025-03-21,31,Fear
1742428800,2025-03-20,49,Neutral
1742342400,2025-03-19,32,Fear
1742256000,2025-03-18,34,Fear
1742169600,2025-03-17,32,Fear
1742083200,2025-03-16,30,Fear
1741996800,2025-03-15,46,Fear
1741910400,2025-03-14,27,Fear
1741824000,2025-03-13,45,Fear
1741737600,2025-03-12,34,Fear
1741651200,2025-03-11,24,Extreme Fear
1741564800,2025-03-10,20,Extreme Fear
1741478400,2025-03-09,27,Fear
1741392000,2025-03-08,28,Fear
1741305600,2025-03-07,34,Fear
1741219200,2025-03-06,25,Extreme Fear
1741132800,2025-03-05,20,Extreme Fear
1741046400,2025-03-04,15,Extreme Fear
1740960000,2025-03-03,33,Fear
1740873600,2025-03-02,26,Fear
1740787200,2025-03-01,20,Extreme Fear
1740700800,2025-02-28,16,Extreme Fear
1740614400,2025-02-27,10,Extreme Fear
1740528000,2025-02-26,21,Extreme Fear
1740441600,2025-02-25,25,Extreme Fear
1740355200,2025-02-24,49,Neutral
1740268800,2025-02-23,50,Neutral
1740182400,2025-02-22,49,Neutral
1740096000,2025-02-21,55,Greed
1740009600,2025-02-20,49,Neutral
1739923200,2025-02-19,44,Fear
1739836800,2025-02-18,47,Neutral
1739750400,2025-02-17,51,Neutral
1739664000,2025-02-16,54,Neutral
1739577600,2025-02-15,50,Neutral
1739491200,2025-02-14,48,Neutral
1739404800,2025-02-13,50,Neutral
1739318400,2025-02-12,46,Fear
1739232000,2025-02-11,47,Neutral
1739145600,2025-02-10,43,Fear
1739059200,2025-02-09,46,Fear
1738972800,2025-02-08,44,Fear
1738886400,2025-02-07,44,Fear
1738800000,2025-02-06,49,Neutral
1738713600,2025-02-05,54,Neutral
1738627200,2025-02-04,72,Greed
1738540800,2025-02-03,44,Fear
1738454400,2025-02-02,60,Greed
1738368000,2025-02-01,68,Greed
1738281600,2025-01-31,76,Extreme Greed
1738195200,2025-01-30,70,Greed
1738108800,2025-01-29,72,Greed
1738022400,2025-01-28,72,Greed
1737936000,2025-01-27,71,Greed
1737849600,2025-01-26,73,Greed
1737763200,2025-01-25,75,Greed
1737676800,2025-01-24,75,Greed
1737590400,2025-01-23,75,Greed
1737504000,2025-01-22,84,Extreme Greed
1737417600,2025-01-21,76,Extreme Greed
1737331200,2025-01-20,76,Extreme Greed
1737244800,2025-01-19,77,Extreme Greed
